"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,14,5,13,15,34,20,19,21,18,2
"OTU547",5,7,5,1,0,0,1,0,0,0,1,0,15,3,3,17,3,1,0,2,1,13,12,1,0,1,6,1,0,0,11,8,3,1,0,0
"OTU546",0,1,1,0,0,0,0,0,0,0,0,0,7,2,5,11,7,1,1,3,7,11,30,0,0,5,8,0,0,2,8,10,6,5,2,6
"OTU541",2,3,3,8,3,9,18,5,17,6,22,5,6,24,10,9,13,2,5,8,21,20,3,15,1,12,4,5,18,9,21,23,12,21,12,12
"OTU495",26,25,13,6,2,1,1,0,0,0,3,3,5,1,0,14,1,1,2,1,2,8,24,3,0,0,0,0,0,1,0,0,0,0,0,0
"OTU543",3,1,4,33,18,9,4,0,6,3,0,0,1,4,1,0,7,5,4,2,1,0,0,3,9,38,2,23,19,8,3,0,2,0,1,2
"OTU542",0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,3,3,1,0,8,5,3,12,1,0,1,8,1,1,0,21,14,5,2,1,0
"OTU765",0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,12,6,1,0,1,1
"OTU764",4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,3,6,0,1,1,9,2,1,0,1,1
"OTU608",2,3,4,1,5,2,4,4,3,5,5,3,21,14,14,18,8,12,6,15,15,12,4,10,2,9,8,6,5,7,5,7,1,7,1,5
"OTU494",2,1,3,31,21,20,1,8,7,24,4,7,1,1,3,0,0,1,1,0,1,1,0,1,1,3,3,2,6,1,2,1,3,1,2,0
"OTU761",0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,4,1,0,1,1,5,2,2,0,1,0,0,0,0,0,0,0,0,0,1
"OTU705",0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU8",965,845,866,848,706,611,80,440,464,475,721,664,925,322,360,1180,1040,1455,634,649,799,969,1108,295,13,58,11,16,12,8,24,13,13,35,10,5
"OTU9",491,533,1042,549,750,540,1428,1314,968,2570,1096,1302,1897,2443,946,1326,783,576,550,1876,1719,1175,572,1154,871,2227,2482,439,1701,3482,1986,3112,1996,2014,971,2030
